 ,Email ,Address ,Avatar ,Avg. Session Length ,Time on App ,Time on Website ,Length of Membership ,Yearly Amount Spent
43,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,35.296151,10.599867,32.321346,4.237245,614.612061
44,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,33.032367,10.171956,36.293005,5.365734,671.085930
45,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,27.788516,9.483614,39.971002,2.299922,365.937088
46,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,27.700670,18.686459,25.091751,3.108995,441.219918
47,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,29.413685,15.164361,34.765058,3.417981,778.819522
48,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,24.738226,14.809617,31.493521,3.709957,487.128895
49,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,33.029388,12.597299,36.130946,3.973867,571.879918
50,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,23.534948,16.092834,31.219621,2.660050,401.452110
51,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,27.432728,16.771687,29.841207,4.266331,694.944417
52,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,21.128732,11.728106,31.986800,5.140913,527.915676
53,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,26.629593,12.324156,37.626283,3.638533,388.761454
54,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,23.063879,12.433656,23.962049,4.581411,313.198189
55,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,35.266852,11.903167,38.418806,3.277004,550.591540
56,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,30.637344,15.573393,33.850068,5.131910,503.636573
57,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,28.198776,8.970309,39.473845,3.772378,495.016419
58,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,31.495731,13.736494,29.675567,3.691155,691.654036
59,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,28.448498,11.112477,40.249666,4.443726,636.139695
60,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,22.597707,16.250679,33.272015,2.770653,397.687634
61,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,32.079039,12.504413,39.567405,4.426395,658.205623
62,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,32.172091,16.288005,37.004884,4.049485,323.703059
63,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,29.255496,13.416784,29.584751,4.198548,598.013146
64,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,20.856702,15.381502,25.752430,3.647065,642.544417
65,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,30.837886,13.221789,32.648909,3.480321,295.318394
66,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,27.657034,16.177657,25.205239,3.112297,544.789171
67,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,28.949870,16.824064,32.307230,2.807192,417.947635
68,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,29.953064,9.699507,37.750347,5.181415,373.874466
69,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,24.507268,15.629802,29.060828,3.793389,594.940960
70,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,32.666231,8.127901,39.777605,3.062445,474.586132
71,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,27.801433,9.716140,33.048202,3.657248,367.842719
72,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,25.455136,17.065914,28.862164,4.576158,549.136272
73,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,37.763307,15.535563,31.221825,4.448844,565.961082
74,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,30.560751,12.532841,34.977943,4.583236,524.413993
75,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,29.723659,12.537195,32.128774,2.940455,350.992334
76,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,21.346095,11.154450,33.874923,3.934934,662.577242
77,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,37.431167,12.283982,33.232758,3.370048,407.915841
78,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,24.728270,15.451686,27.415098,3.300545,587.037812
79,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,27.980408,15.658216,40.740772,4.811469,514.928279
80,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,28.004659,7.547141,37.631588,3.810352,504.595631
81,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,27.165956,9.534194,30.117936,4.698690,626.939998
82,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,29.884471,9.991900,35.929804,4.415428,639.045723
83,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,27.215503,13.117948,40.750769,5.565602,708.166145
84,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,28.094187,16.349568,28.092976,3.817831,732.654808
85,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,25.859636,15.759699,35.158077,3.896387,416.499311
86,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,29.889278,11.749616,38.518989,4.008971,330.330200
87,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,36.270625,14.344285,33.083659,4.035859,307.793651
88,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,22.641636,13.936881,29.996806,3.543866,468.072066
89,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,27.712565,17.474121,34.797310,3.161505,602.245935
90,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,27.761569,14.013154,36.742067,4.413063,375.767937
91,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,26.890851,9.718748,38.274607,3.562437,448.955933
92,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,35.623675,12.926954,37.618257,4.031075,375.513449
93,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,31.287447,10.320094,37.938689,5.080517,580.151592
94,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,22.692548,8.648791,32.064943,3.093627,391.980972
95,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,28.189093,14.478621,32.287628,3.981347,514.445365
96,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,30.461796,14.640794,25.850434,2.689502,531.491094
97,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,25.084011,13.698443,36.047008,3.720712,435.359744
98,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,30.230696,12.278264,40.502044,3.626179,586.373142
99,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,30.406546,12.722570,30.732359,5.075908,687.666294
100,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,23.193143,11.018124,38.647326,5.444098,572.396322
101,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,28.945702,8.792950,29.973584,3.184661,373.244093
102,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,26.292307,11.499236,32.359588,2.940698,476.344257
103,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,29.949358,16.032212,36.668592,3.595306,527.022716
104,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,32.694299,11.318927,25.322159,3.107058,567.708298
105,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,29.052106,14.475702,34.303803,3.384345,266.840865
106,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,26.991251,18.020509,33.793386,2.849418,547.479653
107,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,34.441428,7.516380,29.108129,3.854151,569.795883
108,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,30.485623,17.109751,35.651720,4.025994,454.070367
109,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,29.002082,14.451013,26.782380,4.806891,482.682736
110,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,22.717861,14.536348,32.509570,4.346107,494.573493
111,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,27.057506,11.771504,38.960360,4.323855,522.404952
112,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,28.282027,15.572762,38.675575,3.317350,412.524498
113,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,21.369001,15.564853,36.944854,3.027165,527.675452
114,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,26.242982,9.351257,38.856415,2.743571,713.324487
115,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,21.514232,17.440754,33.308712,3.608014,498.246748
116,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,26.800374,8.888117,38.284165,3.200697,488.680412
117,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,34.981084,13.835451,28.684424,4.830964,631.802631
118,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,28.351590,7.117675,34.329455,3.385035,514.865809
119,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,30.312174,13.430760,26.523236,4.150086,295.771664
120,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,25.535213,13.517751,31.262913,4.991185,561.278021
121,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,36.819200,11.566508,37.584061,3.473363,499.766842
122,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,23.277943,14.746621,33.651394,3.590366,550.715879
123,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,31.119326,12.987271,31.458086,3.776338,658.422099
124,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,27.112119,11.437753,33.438806,5.291517,370.404978
125,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,27.249640,12.224809,29.230685,3.577377,615.513256
126,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,31.022225,14.177588,37.122892,4.783930,592.054697
127,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,25.837875,14.679609,36.249493,3.935623,610.235768
128,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,25.991476,16.729663,38.921245,4.679285,351.047132
129,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,33.483612,15.736881,39.613341,4.009379,615.681509
130,,,,23.772543,17.049549,29.817643,3.250527,654.729803
131,,,,21.459479,15.106671,31.079415,5.028089,541.978552
132,,,,34.484654,12.502678,24.841186,4.083404,316.625883
133,,,,25.246535,15.443994,31.835564,5.341930,482.229067
134,,,,29.700299,11.544828,32.119146,3.011585,436.374388
135,,,,31.350244,17.623615,33.100036,3.285540,512.455304
136,,,,26.490335,11.904790,23.515850,3.786203,377.570444
137,,,,28.650244,16.453237,34.916193,4.058214,486.063949
138,,,,28.407338,8.819189,33.460716,2.746954,379.201570
139,,,,30.175177,9.194299,31.662405,4.039164,473.686145
140,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,24.754234,7.241171,37.574144,5.271882,421.877438
141,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,31.658962,12.581508,31.982588,5.036690,649.101770
142,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,27.165406,10.481059,40.566184,3.424427,639.590211
143,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,30.928944,12.568802,35.221623,2.855581,390.507635
144,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,31.864931,11.087197,35.383513,3.553371,541.594632
145,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,22.304294,17.379130,39.556969,4.292519,331.950872
146,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,20.345011,17.178453,36.255110,4.599605,449.406018
147,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,25.692601,10.564664,40.494442,3.540607,606.346013
148,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,28.391800,8.810875,36.836522,4.472404,535.187170
149,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,27.919366,12.190397,40.963298,3.505631,548.069217
150,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,24.639374,9.161677,35.728901,3.101283,502.862709
151,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,26.457860,15.678264,39.429564,5.332076,619.011370
152,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,33.431498,11.308454,36.063797,3.238802,500.116624
153,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,30.189527,8.198782,29.691124,2.644268,533.837468
154,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,33.047686,16.405028,31.537317,4.777550,513.332189
155,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,30.631600,8.499699,38.582633,3.936325,487.137012
156,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,36.397146,11.218441,28.539815,3.026820,556.147007
157,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,29.568885,12.962710,29.806818,4.472840,518.435093
158,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,30.081052,8.584816,24.468729,5.122896,475.539081
159,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,27.310514,16.748680,37.966681,4.808712,386.553667
160,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,31.499914,10.365711,30.630547,4.147771,254.620776
161,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,32.843655,13.751692,39.161622,3.661422,634.409649
162,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,28.562522,13.629921,40.042051,5.848627,527.708529
163,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,28.185177,17.099435,35.211084,3.262355,375.620846
164,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,21.837692,12.347989,34.576010,3.946154,368.869056
165,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,33.877165,9.266018,39.563641,3.841590,488.979552
166,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,34.763551,12.155218,27.374195,4.637717,492.428307
167,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,27.632693,12.536180,34.731353,4.334883,385.548058
168,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,29.107243,12.070595,40.098978,2.359591,619.845043
169,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,29.269861,11.514421,37.102090,3.707234,334.216986
170,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,24.877633,11.287025,36.339130,5.509333,378.520534
171,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,28.104518,15.146897,37.924626,4.072899,526.890354
172,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,35.645350,12.595177,30.279338,4.037771,675.121043
173,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,25.580025,13.145660,26.482153,4.097526,445.315008
174,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,36.033428,12.715405,29.597204,4.810756,533.518029
175,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,32.798708,14.249118,26.561721,5.628044,418.646907
176,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,33.077150,13.860047,29.933363,3.690300,666.676272
177,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,26.526462,18.398070,32.379276,2.918784,366.811464
178,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,33.095242,11.483267,27.435116,5.371416,563.261901
179,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,24.136548,16.366465,28.660312,4.969457,519.338808
180,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,28.255352,9.169028,36.979447,4.241559,526.329110
181,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,25.581624,16.311377,26.607056,3.817037,341.251301
182,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,32.125444,9.620951,40.955387,5.023571,579.634826
183,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,23.726975,11.130006,28.321438,4.183470,511.756044
184,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,21.824233,9.012521,41.844263,2.473187,247.328975
