CustomerID,Email,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
71,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,74.247268,27.755651,9.577668,2.7913105,605.451054
72,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,17.776272,11.359461,30.268959,15.164034,423.704933
73,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,22.550915,25.580278,73.110597,14.604543,466.847505
74,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,14.355557,48.117514,31.721283,11.620179,570.352344
75,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,75.980673,41.895189,9.536653,1.023154,609.906092
76,mstephenson@fernandez.com ,"835 Frank Tunnel\nWrightmouth, MI 82180-9605 ",Violet ,30.197268,22.255651,69.577668,1.5913105,585.651054
77,hduke@hotmail.com ,"4547 Archer Common\nDiazchester, CA 06566-8576 ",DarkGreen ,52.326272,27.309461,32.268959,0.432017,376.104933
78,pallen@yahoo.com ,"24645 Valerie Unions Suite 582\nCobbborough, D... ",Bisque ,39.100915,53.080278,33.110597,1.1522715,476.047505
79,riverarebecca@gmail.com ,"1414 David Throughway\nPort Jason, OH 22070-1220 ",SaddleBrown ,60.155557,24.267514,16.721283,3.8100895,565.752344
80,mstephens@davidson-herman.com ,"14023 Rodriguez Passage\nPort Jacobville, PR 3... ",MediumAquaMarine ,23.280673,31.495189,21.536653,13.246308,590.206092
